device_id,num_io,read_count,write_count
664,644813,73,644740
312,639333,5,639328
596,619970,35880,584090
576,613758,73257,540501
306,611812,217,611595
689,603102,42686,560416
488,600308,30781,569527
172,597738,126571,471167
505,585581,35005,550576
607,583327,22420,560907
527,575641,150,575491
143,574384,344529,229855
665,571674,0,571674
629,569561,29,569532
778,568997,235,568762
447,568905,18530,550375
605,558824,82,558742
452,550283,17831,532452
788,543590,0,543590
584,542179,20294,521885
682,539192,19460,519732
441,537756,1,537755
565,534570,8764,525806
824,534258,126532,407726
768,533766,40037,493729
380,532198,778,531420
582,531541,1,531540
685,527861,1954,525907
464,527226,1911,525315
394,525712,6,525706
520,525581,545,525036
787,520160,6224,513936
662,520097,37377,482720
609,519445,1,519444
362,519262,13,519249
420,516179,6494,509685
764,515748,16737,499011
617,513900,474,513426
533,509671,510,509161
573,509555,3188,506367
572,506150,201,505949
414,502675,27917,474758
575,498144,2,498142
610,496727,0,496727
543,493958,0,493958
564,493319,0,493319
696,492716,87,492629
899,491610,460,491150
552,490592,0,490592
675,488438,15595,472843
592,481914,0,481914
499,477249,0,477249
384,477228,2,477226
806,477188,475806,1382
534,477061,0,477061
645,475672,39,475633
497,475600,25,475575
541,475063,0,475063
656,473495,0,473495
709,472655,467,472188
426,467204,29,467175
553,466873,0,466873
458,463919,0,463919
475,463501,64,463437
490,462558,0,462558
581,454584,0,454584
388,454077,50,454027
530,453805,15,453790
444,448826,13774,435052
481,437074,0,437074
777,429142,16926,412216
636,420122,92,420030
633,410240,8,410232
815,409901,87606,322295
422,404115,1,404114
635,397572,0,397572
524,393318,0,393318
630,391738,0,391738
793,391373,0,391373
773,388812,16012,372800
760,385760,18635,367125
797,370577,1,370576
718,370417,29371,341046
719,366561,3,366558
268,363248,10255,352993
673,346075,53,346022
741,343775,16411,327364
671,335418,78,335340
827,331255,170467,160788
557,328008,25134,302874
917,316194,92519,223675
942,312688,404,312284
514,300893,146,300747
814,297154,49604,247550
790,296252,310,295942
969,295777,22738,273039
608,293618,30033,263585
620,289021,23151,265870
285,282141,1868,280273
786,281673,165,281508
920,260764,22564,238200
923,255487,22163,233324
929,255328,23344,231984
922,254792,22184,232608
110,254175,56373,197802
365,244803,73441,171362
967,244234,22214,222020
931,243666,22261,221405
795,243130,189,242941
930,242674,22217,220457
919,241844,22328,219516
925,240578,22406,218172
921,239924,22142,217782
382,230159,1397,228762
476,226857,0,226857
626,226058,2,226056
660,225754,0,225754
808,221982,21,221961
968,216758,22081,194677
962,192974,22023,170951
915,186910,22339,164571
597,184755,55,184700
694,174627,84,174543
164,161479,974,160505
800,159819,0,159819
799,158682,0,158682
909,149380,79211,70169
994,146581,78694,67887
996,145689,78653,67036
910,144605,76153,68452
995,144192,76379,67813
908,144181,75613,68568
906,144137,76068,68069
998,143461,77926,65535
907,142577,75706,66871
997,141766,76462,65304
571,139243,1,139242
307,138914,30815,108099
913,138291,317,137974
765,125264,3182,122082
965,122278,20739,101539
938,117498,22039,95459
677,110999,323,110676
940,105219,25697,79522
957,97073,22119,74954
964,96092,308,95784
970,91901,332,91569
946,89531,22252,67279
796,88947,0,88947
945,86901,22171,64730
912,84346,21780,62566
245,80556,137,80419
916,78126,21708,56418
73,76861,18517,58344
982,76155,308,75847
903,71022,332,70690
991,70515,21627,48888
990,65738,21688,44050
958,65011,306,64705
905,63784,307,63477
959,63240,327,62913
974,60047,21771,38276
983,59735,303,59432
981,58837,21918,36919
