device_id,num_io,read_count,write_count,ts_max,ts_min,duration,avg_offset,avg_size,write_percentage,read_percentage
509,22444798,15333,22429465,1.58049E+15,1577808001344326,2678398150624,19166653302,6484.07143,0.9993168573,0.0006831427042
513,22441237,14093,22427144,1580486399827723,1577808001353665,2678398474058,18266981307,6512.312953,0.9993720043,0.0006279956849
327,22410722,14269,22396453,1580486398303635,1577808000696406,2678397607229,21177993613,6503.187157,0.9993632958,0.0006367041633
556,22407834,17614,22390220,1580486397734846,1577808001496254,2678396238592,21317422472,6474.482088,0.9992139356,0.0007860643737
399,22405928,13700,22392228,1580486397625287,1577808001098568,2678396526719,23481130406,6462.425811,0.9993885547,0.0006114453282
663,22375365,19790,22355575,1580486399255397,1577808001794589,2678397460808,21874044764,6497.841306,0.9991155452,0.0008844548458
259,22091561,112929,21978632,1580486399938385,1577808000381875,2678399556510,42846154303,6652.423322,0.9948881385,0.005111861493
126,21974016,29,21973987,1580486399729471,1577808000091708,2678399637763,18812484714,65103.88014,0.9999986803,0.000001319740552
64,21853910,12610652,9243258,1580486399368958,1577808000023403,2678399345555,13881502079,31565.26895,0.4229567158,0.5770432842
26,21531846,9798729,11733117,1580486399273182,1577808000004742,2678399268440,20451769789,54769.70989,0.5449192327,0.4550807673
369,21117988,66596,21051392,1580486399240457,1577808000963994,2678398276463,1126322250898,96357.51522,0.9968464799,0.003153520118
226,20650524,274501,20376023,1580486399527206,1577808000267437,2678399259769,22951452983,10643.67287,0.9867073107,0.01329268933
37,20217233,1268263,18948970,1580486396448327,1.57781E+15,2678396441277,186057920545,25265.57215,0.9372682206,0.06273177937
205,19638734,29,19638705,1580486399610411,1577808000218994,2678399391417,17210166659,18352.75356,0.9999985233,0.000001476673598
197,19630788,3369,19627419,1.58049E+15,1577808000202484,2678399722656,104753659012,10230.74441,0.9998283818,0.0001716181745
242,19570946,1443654,18127292,1580486396374673,1577808000324759,2678396049914,45560307702,8239.115955,0.9262348381,0.07376516189
264,19053076,434037,18619039,1580486399354365,1577808000388982,2678398965383,41753279891,7800.570319,0.9772195839,0.02278041614
460,19025510,244231,18781279,1580486399775659,1577808001218986,2678398556673,29313183767,8284.72794,0.9871629722,0.01283702776
208,18994071,3311,18990760,1580486399991654,1577808000222106,2678399769548,115451834962,33089.77581,0.9998256824,0.0001743175541
34,18990539,3032,18987507,1.58049E+15,1577808000006801,2678399861509,115437329464,33300.9914,0.9998403416,0.0001596584489
97,18989876,3779,18986097,1580486399960044,1.57781E+15,2678399899874,115277401278,33056.75252,0.9998009992,0.0001990007728
133,18970895,3943,18966952,1580486399920564,1577808000105285,2678399815279,115551679739,33112.74275,0.9997921553,0.0002078447011
232,18968419,3489,18964930,1580486399891956,1.57781E+15,2678399603676,115400646860,33038.44496,0.9998160627,0.0001839373118
176,18962678,3941,18958737,1.58049E+15,1577808000161674,2678399698626,115401020167,32798.33728,0.9997921707,0.000207829295
198,18958085,3151,18954934,1580486399778295,1577808000206385,2678399571910,115439768082,32730.96008,0.9998337912,0.0001662087706
138,18908234,3115,18905119,1580486399956652,1577808000108798,2678399847854,81955723339,32809.80444,0.999835257,0.0001647430426
483,18730464,4448,18726016,1.58049E+15,1577808001286623,2678393320817,33690770119,7920.277042,0.9997625259,0.0002374740957
372,18505800,202690,18303110,1.58049E+15,1577808001004486,2678398808844,19442386613,13716.64636,0.9890472176,0.01095278237
160,18461928,55632,18406296,1580486397826781,1577808000130477,2678397696304,31698163754,7837.754965,0.9969866636,0.003013336419
748,18108928,1937475,16171453,1580486394008955,1577808004027439,2678389981516,43378420688,283525.8806,0.8930099562,0.1069900438
257,17099651,38542,17061109,1580486399713752,1577808000375984,2678399337768,24659080812,7728.777349,0.9977460359,0.002253964131
427,16939754,10716836,6222918,1580486398007429,1577808001159074,2678396848355,11184773748,48557.57079,0.367355866,0.632644134
445,16775963,4018986,12756977,1580486399778503,1577808001193391,2678398585112,65234823358,11428.79878,0.7604318751,0.2395681249
122,16739108,2709401,14029707,1580486399962319,1577808000086826,2678399875493,18471154094,55367.79271,0.8381394636,0.1618605364
737,16611944,3036,16608908,1580486395414481,1577808003208664,2678392205817,145888769508,10017.49463,0.9998172399,0.0001827600671
455,16576281,4519011,12057270,1580486398449535,1577808001212962,2678397236573,14924115893,19187.99694,0.7273808884,0.2726191116
6,16546620,6388573,10158047,1580486399968507,1577808000000908,2678399967599,8514547417,27285.78035,0.6139046524,0.3860953476
74,16342517,155975,16186542,1580486398870391,1.57781E+15,2678398840001,72885509320,33792.56236,0.9904558765,0.009544123466
254,16296393,154640,16141753,1580486398845806,1577808000364096,2678398481710,89137953819,33730.94045,0.9905107836,0.009489216417
303,16280098,158194,16121904,1580486399873996,1577808000546559,2678399327437,91227610893,34674.82874,0.9902829823,0.009717017674
169,16200779,152394,16048385,1580486397305942,1.57781E+15,2678397153722,77270448687,33460.47439,0.9905934153,0.009406584708
170,16188495,3721495,12467000,1580486399055989,1577808000153443,2678398902546,19624513103,11157.08035,0.7701148254,0.2298851746
661,16174244,6392,16167852,1580486398667695,1577808001787838,2678396879857,26276953638,7939.857194,0.9996048038,0.0003951962144
467,16149438,4206792,11942646,1580486399034063,1.57781E+15,2678397789503,14743053384,18795.88716,0.7395084584,0.2604915416
282,15968017,5962869,10005148,1580486398413001,1577808000463642,2678397949359,41825139294,24796.24724,0.6265742327,0.3734257673
361,15952692,146595,15806097,1580486396162832,1577808000929797,2678395233035,21808827547,8017.732671,0.9908106419,0.009189358135
733,15902902,1157079,14745823,1580486399795924,1577808002858884,2678396937040,69849031076,16148.6119,0.9272410155,0.07275898449
348,15795234,209093,15586141,1580486398798445,1577808000823741,2678397974704,23467583522,15242.45328,0.9867622727,0.01323772728
716,15787877,1154745,14633132,1580486399669556,1577808002093194,2678397576362,9639493743,8525.340054,0.9268587537,0.07314124629
430,15620602,3,15620599,1580486399997045,1577808001162548,2678398834497,19995960899,6832.878694,0.9999998079,0.0000001920540578
434,15612487,2465,15610022,1580486399212134,1.57781E+15,2678398045144,46862111103,41116.92028,0.9998421136,0.0001578864405
358,15441543,1399543,14042000,1580486399133242,1577808000912619,2678398220623,26492614701,8665.655098,0.9093650809,0.09063491906
112,15359214,3481496,11877718,1580486397799817,1577808000076978,2678397722839,21180411557,13556.09636,0.773328505,0.226671495
16,14867655,156489,14711166,1580486397829384,1577808000002669,2678397826715,59818447986,36972.9212,0.9894745338,0.01052546619
166,14859143,153448,14705695,1580486399007682,1577808000138633,2678398869049,77179949381,37062.02435,0.9896731595,0.01032684052
39,14850188,154478,14695710,1580486397600618,1577808000008556,2678397592062,105935630449,36760.65413,0.9895975728,0.01040242723
43,14814616,153050,14661566,1580486399965515,1577808000009432,2678399956083,111350969199,36868.59156,0.9896689864,0.01033101364
136,14812791,152443,14660348,1580486399716314,1577808000105736,2678399610578,117108720883,37075.04749,0.9897086916,0.01029130837
13,14729512,154571,14574941,1580486397006149,1577808000001909,2678397004240,77180032252,37002.66073,0.9895060339,0.01049396613
96,14698714,10181,14688533,1580486373729109,1577808000060164,2678373668945,399611388700,16444.66223,0.9993073544,0.0006926456287
103,14648866,150363,14498503,1580486395251064,1577808000062043,2678395189021,83574340028,36589.29874,0.9897355195,0.01026448054
22,14638747,155127,14483620,1580486399279018,1577808000003779,2678399275239,85102303607,37048.43847,0.9894029865,0.01059701353
67,14635438,154241,14481197,1580486396281729,1577808000026586,2678396255143,64364423027,37143.97246,0.9894611285,0.01053887147
165,14629358,2941183,11688175,1580486399745298,1577808000136185,2678399609113,9755527800,15641.88951,0.7989533785,0.2010466215
296,14622717,1,14622716,1580486399827827,1577808000510881,2678399316946,22726998051,11378.59505,0.9999999316,0.00000006838674372
35,14612619,153862,14458757,1580486398634019,1577808000006865,2678398627154,76729529431,36979.56134,0.9894706076,0.01052939244
201,14570879,155598,14415281,1580486399679835,1577808000209173,2678399470662,83183327513,37374.12251,0.9893213031,0.01067869687
200,14565358,147727,14417631,1580486399906575,1577808000207717,2678399698858,92627231836,36119.39812,0.9898576472,0.01014235283
20,14547147,150435,14396712,1.58049E+15,1577808000003572,2678399033728,60562580393,37097.08305,0.989658797,0.01034120299
111,14542799,151018,14391781,1580486395905655,1577808000072675,2678395832980,81485677351,36841.78841,0.9896156166,0.01038438336
231,14511162,151945,14359217,1580486395363633,1577808000285416,2678395078217,86384115770,37024.86394,0.9895290949,0.01047090509
94,14482521,152667,14329854,1580486399937904,1577808000057806,2678399880098,62983420400,37340.6702,0.9894585342,0.01054146581
28,14466407,148232,14318175,1580486397496489,1.57781E+15,2678397491649,80833679807,36696.77997,0.9897533645,0.01024663553
145,14460120,151684,14308436,1580486398117283,1577808000119046,2678397998237,89300648088,37163.4205,0.9895101839,0.01048981613
116,14455879,153589,14302290,1580486399716482,1577808000078786,2678399637696,104016634900,37690.92517,0.9893753261,0.01062467388
