volume,count
4858,5265504
3590,5264778
21945,5261917
2758,5261829
6980,5257715
21399,5254297
12899,5244879
16328,5238767
12890,5236780
1891,5228464
20365,5213913
23707,5213615
8114,5209950
17680,5208344
19439,5207021
19028,5206869
7962,5197703
18212,5196473
15365,5195990
4845,5187461
4278,5182845
5071,5175933
14082,5169117
6182,5164650
16470,5161387
16448,5160446
2691,5153629
4537,5146793
14496,5132486
11518,5128649
14158,5122449
7086,5116344
6008,5112271
14652,5105537
11867,5103417
9799,5098543
3317,5088762
3690,5088152
18453,5079644
15320,5077439
16350,5073688
17878,5068107
20760,5066521
8238,5055445
10120,5054849
18970,5054781
9049,5054717
2124,5048163
8974,5046158
3971,5044734
14284,5036124
7194,5035109
14046,5034802
9385,5031567
5140,5027496
13495,5025454
4191,5021499
5641,5020404
16376,5019775
16082,5019032
23283,5001709
10831,5001094
15397,4997085
4356,4980601
19895,4978348
8338,4977426
2482,4976569
5200,4970666
12099,4970518
6307,4968363
5147,4965847
19219,4962426
7095,4960279
10995,4957747
9296,4957575
21698,4949349
12264,4948276
20976,4944080
3053,4939824
17792,4939172
20141,4935992
22740,4934847
11336,4930785
10176,4928777
3626,4926406
14697,4926129
10675,4924002
8331,4922545
16105,4914896
13985,4905098
14808,4904361
7713,4904147
5831,4898806
8011,4893222
18699,4893082
8018,4892821
21677,4891344
3681,4887035
13332,4883822
11487,4873733
7915,4869165
5268,4867334
11853,4865546
8735,4862736
12263,4854163
4775,4851445
19502,4851062
18992,4841678
13461,4831235
4000,4826629
17723,4826511
23202,4825125
2478,4822960
17793,4821463
10752,4821039
23816,4819412
4892,4818345
14824,4817572
6795,4817381
20726,4815215
18986,4813145
4100,4810271
23340,4804901
13367,4800731
19498,4799307
19791,4796104
6171,4790952
2235,4790665
17882,4787337
22095,4785461
20042,4780484
13684,4780102
7314,4774701
8787,4770201
16797,4767672
19189,4763416
20456,4761820
1417,4757527
16116,4756244
2653,4753172
7576,4749885
13189,4747631
2554,4745281
11032,4744539
1576,4743877
15800,4743183
17094,4733188
1811,4732216
14578,4727020
1306,4724122
18101,4721744
2333,4716853
14621,4713324
11248,4710055
16897,4708544
18627,4705161
13739,4703242
9426,4699163
19068,4696485
17524,4695812
1510,4694622
14598,4689407
1099,4686426
5039,4686199
15109,4673090
5911,4671962
11108,4666270
10851,4660610
18735,4659692
21505,4652968
14472,4650693
18013,4650153
4579,4637017
10957,4635538
10656,4630979
5346,4626075
14254,4622408
15014,4613561
17035,4609924
12799,4609626
13076,4606215
4041,4599116
15627,4596828
19952,4595492
18495,4593246
4485,4591308
15208,4587061
19100,4586704
21445,4580258
18907,4578087
7814,4572621
7775,4572411
15746,4567340
12883,4565271
16655,4563807
11287,4563506
19574,4562296
2508,4561976
14790,4561868
3521,4558306
11605,4556980
13223,4555707
18671,4537351
1415,4536364
7347,4530253
5975,4529550
5494,4529232
17991,4523871
3011,4520821
12613,4517895
15083,4516198
21415,4513508
4636,4511310
4597,4509764
11074,4506672
16056,4505165
1690,4503048
3142,4502497
22319,4499457
16035,4499428
19599,4498506
13312,4498455
12360,4497392
7246,4489858
19152,4489783
4310,4489504
8872,4478765
3360,4476873
12181,4475890
20817,4474573
6951,4471375
5632,4464112
12080,4461640
6142,4457852
8198,4456443
9336,4456043
9190,4455296
17830,4441845
1170,4440751
1387,4439507
12956,4437984
12495,4436794
7047,4436367
20868,4433913
18581,4433391
11710,4433110
19045,4430585
10582,4429437
14445,4428177
2586,4425864
4554,4423347
17026,4421028
23577,4415536
5788,4413126
3091,4409435
4778,4402336
21504,4400145
13552,4398311
13422,4392841
13702,4391703
20923,4389642
15325,4388495
14999,4388317
16049,4386679
1308,4379962
17082,4379218
20861,4376817
18530,4376017
6859,4374654
16426,4373639
9763,4370197
12323,4368921
16041,4367730
10525,4367381
19286,4367137
4679,4366099
13175,4364647
14300,4362748
8835,4358529
4027,4358204
7875,4358169
13192,4358068
22275,4354994
5794,4354798
23698,4354776
9803,4351007
1581,4350953
7717,4345939
10393,4344135
9006,4341400
12165,4338514
2659,4335181
7192,4333827
19864,4332624
13361,4331806
16096,4327083
21078,4326535
19194,4324398
9157,4323243
11135,4323201
6390,4321831
17567,4319868
13126,4315865
12600,4311505
10156,4311278
5808,4306535
21837,4303610
11345,4301528
21572,4298376
14341,4297339
6291,4291606
9090,4290017
22481,4287976
15686,4286306
18639,4282894
16820,4278578
13265,4274026
4205,4272527
1859,4271571
8388,4268880
17149,4267309
13072,4267221
